cinturon,dimension,indicador,estado_calculo,valor,unidad,fecha_dato,obtenido_en,antiguedad_dias,tope_dias,demora_por_umbral,cache,peso_interno,peso_efectivo,puntaje_aplicado,color,fuente,verificacion_externa_individual
macro,actividad,ipi_manufacturero,observado,-2.82,% i.a. (promedio 3 meses),2026-07-01,2026-09-08T16:20:30,69,110,False,False,0.2,0.022,25.4,naranja,"INDEC — IPI manufacturero, nivel general (planilla original vigente)",Ver matriz de contraste; no inferida de tests
macro,competitividad_externa,tcrm,observado,85.51,Índice (base dic-2015=100),2026-08-01,2026-09-08T03:01:41,38,110,False,False,1.0,0.11,48.8,amarillo,BCRA — Índice de Tipo de Cambio Real Multilateral (ITCRM),Ver matriz de contraste; no inferida de tests
macro,inversion,iai,observado,-5.66,% i.a. ponderado,2026-07-01,2026-09-08T16:32:05-03:00,69,140,False,False,1.0,0.12,36.4,naranja,INDEC — ISAC (construcción) + ICA (bienes de capital importados),Ver matriz de contraste; no inferida de tests
politica,poder_legislativo,ratio_dnu,observado,1.4,DNUs publicados por ley publicada,2026-09-08,2026-09-08T17:57:33.866589-03:00,0,110,False,False,0.2,0.0477,47.7,amarillo,InfoLeg — Ministerio de Justicia (base de normas nacionales),Ver matriz de contraste; no inferida de tests
politica,poder_legislativo,eficacia_legislativa,observado,14.3,% de proyectos,2026-09-08,2026-09-08T03:03:06,0,110,False,False,0.27,0.0644,48.6,amarillo,datos.hcdn.gob.ar — proyectos-parlamentarios + leyes-sancionadas,Ver matriz de contraste; no inferida de tests
politica,poder_legislativo,veto_quorum,observado,10.0,% de sesiones,2026-09-08,2026-09-08T18:17:20.014715-03:00,0,110,False,False,0.13,0.031,78.3,verde,Cámara de Diputados — índice oficial de sesiones y versiones taquigráficas,Ver matriz de contraste; no inferida de tests
politica,poder_legislativo,desafios_legislativos,observado,0.0,"normas del Ejecutivo desafiadas en el recinto, últimos 12 meses",2026-09-08,2026-09-08T19:22:19.111303,0,110,False,False,0.13,0.031,100.0,verde,Actas de votación de Diputados y Senado + InfoLeg (vetos e insistencias) — elaboración CIGOB,Ver matriz de contraste; no inferida de tests
politica,poder_legislativo,produccion_legislativa,observado,29,leyes sancionadas (12m),2026-08-01,2026-09-08T18:26:17.275762-03:00,38,110,False,False,0.15,0.0358,42.5,amarillo,"Cámaras de Diputados y Senadores — catálogos, boletines parlamentarios y Boletín Oficial",Ver matriz de contraste; no inferida de tests
politica,alianzas_territoriales,iaf_transferencias,observado,1.6,% interanual real,2025-12-31,2026-09-08T03:02:58,251,560,False,False,0.4,0.076,78.2,verde,"Sec. Hacienda — RON, planilla mensual consolidada + IPC INDEC (deflactado mes a mes)",Ver matriz de contraste; no inferida de tests
politica,alianzas_territoriales,alineamiento_senadores_prov,observado,59.3,"% votos de senadores no-LLA alineados con LLA, por provincia",2026-08-27,,12,110,False,False,0.3,0.057,73.6,verde,Votaciones nominales del Senado — elaboración CIGOB,Ver matriz de contraste; no inferida de tests
politica,alianzas_territoriales,adhesion_reformas_provincial,observado,75.0,% de jurisdicciones (sobre 24) adheridas al RIGI,2026-09-08,2026-09-08T17:20:01-03:00,0,110,False,False,0.3,0.057,92.5,verde,MAGyP — catálogo de adhesiones · leyes provinciales complementarias verificadas,Ver matriz de contraste; no inferida de tests
politica,cohesion_interna,cohesion_bloque,observado,100.0,"% cohesión (índice de Rice bicameral: Diputados 65% + Senado 35%, promedio actas divididas últimos 90 días)",2026-08-27,2026-09-08T19:22:19.111303,12,110,False,False,1.0,0.15,100.0,verde,Votaciones nominales de Diputados y Senado — elaboración CIGOB,Ver matriz de contraste; no inferida de tests
politica,conflicto_social,conflictividad_nacional,observado,-24.1,% vs 2023,2026-08-01,2026-09-08T17:07:35-03:00,38,110,False,False,0.6,0.06,52.9,amarillo,ACLED — agregado semanal por provincia (acleddata.com),Ver matriz de contraste; no inferida de tests
politica,conflicto_social,jornadas_individuales_no_trabajadas_12m,observado,4760195,jornadas individuales no trabajadas (12m),2026-05-01,2026-09-08T03:02:39,130,150,False,False,0.4,0.04,100.0,verde,Secretaría de Trabajo — Estadísticas de conflictos laborales,Ver matriz de contraste; no inferida de tests
politica,imagen_voto,votometro_ventaja_lla,observado,4.3,Puntos porcentuales,2026-07-22,2026-09-08T03:02:17,48,110,False,False,1.0,0.07,73.6,verde,Votómetro CIGOB,Ver matriz de contraste; no inferida de tests
politica,poder_judicial,cobertura_judicial,observado,73.82,% estimado de cargos con juez designado,2026-09-01,2026-09-08T16:05:00,7,110,False,False,0.4,0.075,62.0,verde,"Ministerio de Justicia — padrón de magistrados, designaciones y renuncias; Boletín Oficial y Consejo de la Magistratura",Ver matriz de contraste; no inferida de tests
politica,poder_judicial,velocidad_resolucion,observado,45.4,% de expedientes resueltos sobre ingresados,2025-12-31,2026-09-08T03:04:37,251,560,False,False,0.2,0.0375,94.6,verde,CSJN — anuario estadístico (sistema de gestión judicial),Ver matriz de contraste; no inferida de tests
politica,poder_judicial,paralisis_denuncias,observado,13,sesiones de las comisiones de control (12m),2026-09-01,2026-09-08T03:04:43,7,110,False,False,0.2,0.0375,10.0,rojo,Consejo de la Magistratura — archivo de notas de las comisiones,Ver matriz de contraste; no inferida de tests
politica,sector_privado,brecha_obra_publica,observado,-1.8,"pp de brecha (obra pública − privada, 12m)",2026-08-01,2026-09-08T16:53:34-03:00,38,110,False,False,0.5,0.13,71.4,verde,"INDEC · Encuesta Cualitativa de la Construcción (ISAC, Cuadro 7.1)",Ver matriz de contraste; no inferida de tests
politica,poder_legislativo,bloqueo_sostenido,sin_universo,,"% de normas desafiadas en el recinto que siguen en pie, últimos 12 meses",2026-09-08,2026-09-08T19:22:19.111303,,,,False,,,,,Actas de votación de Diputados y Senado + InfoLeg — elaboración CIGOB,Ver matriz de contraste; no inferida de tests
gestion,reformas_economicas,cepo_mulc,observado,5.35,% de brecha CCL/mayorista,2026-09-08,2026-09-08T12:59:52.224335-03:00,0,110,False,False,0.4,0.14,97.9,verde,dolarapi.com — CCL y mayorista (el mayorista replica la referencia A3500 del BCRA),Ver matriz de contraste; no inferida de tests
gestion,reformas_economicas,apertura_comercial,observado,7.62,% del intercambio (alícuota efectiva),2026-07-01,2026-09-08T13:27:27.374334-03:00,69,110,False,False,0.4,0.14,49.2,amarillo,ARCA (DEX+DIM) + INDEC ICA + BCRA A3500,Ver matriz de contraste; no inferida de tests
gestion,reformas_economicas,desregulacion_normativa,observado,17115.0,"artículos de normas modificados o eliminados, acumulados desde dic-2023",2026-08-01,2026-09-08T15:04:04,38,110,False,False,0.2,0.07,73.3,verde,Ministerio de Desregulación y Transformación del Estado — Análisis de la desregulación implementada (informe mensual),Ver matriz de contraste; no inferida de tests
gestion,reforma_estado,reduccion_estado,observado,-20.66,% de variación vs dic-2023 (dotación APN),2026-07-01,2026-09-08T03:06:01,69,110,False,False,0.4375,0.1458,100.0,verde,INDEC — Dotación de personal de la APN (mensual),Ver matriz de contraste; no inferida de tests
gestion,reforma_estado,gasto_funcionamiento,observado,-28.69,% de variación real vs 2023-07 (IMIG funcionamiento),2026-07-01,2026-09-08T03:06:03,69,110,False,False,0.3125,0.1042,100.0,verde,Sec. Hacienda IMIG (datos.gob.ar) + IPC INDEC,Ver matriz de contraste; no inferida de tests
gestion,reforma_laboral,fal_modernizacion_laboral,observado,50.0,"Índice 0–100 (FAL vigente: construcción firme, vigencia y adopción)",2026-09-08,2026-09-08T03:06:23,0,110,False,False,0.5,0.075,55.0,amarillo,InfoLeg — Ley 27.802 y Decreto 408/2026 · estado judicial de la Ley 27.802 · CNV (registro de FCI),Ver matriz de contraste; no inferida de tests
gestion,reforma_laboral,litigiosidad_laboral,observado,2.1,% variación juicios SRT (12m vs 12m previos),2026-05-01,2026-09-08T03:06:24,130,220,False,False,0.5,0.075,60.8,verde,SRT — Serie histórica de litigiosidad,Ver matriz de contraste; no inferida de tests
gestion,privatizaciones_inversion,privatizaciones,observado,55.6,"% de avance (etapas 0-4, cartera Ley Bases)",2026-09-08,2026-09-08T12:48:33.739736-03:00,0,110,False,False,0.4,0.06,75.6,verde,"Boletín Oficial y CNV — hitos por empresa, revisión parcial al 8-sep-2026",Ver matriz de contraste; no inferida de tests
gestion,privatizaciones_inversion,rigi_inversiones,observado,24.5,% de inversión aprobada sobre el pipeline,2026-09-08,2026-09-08T03:06:38,0,110,False,False,0.4,0.06,51.7,amarillo,Ministerio de Economía — Plataforma oficial RIGI,Ver matriz de contraste; no inferida de tests
gestion,privatizaciones_inversion,concesiones_infraestructura,observado,100.0,% de km adjudicados / km del plan (Red Federal de Concesiones),2026-09-08,2026-09-08T03:06:44,0,110,False,False,0.2,0.03,100.0,verde,CONTRAT.AR (UOC 504) + Boletín Oficial (InfoLeg) + página oficial RFC,Ver matriz de contraste; no inferida de tests
gestion,social_orden,asistencia_directa,observado,100.0,TDPS: % del devengado de transferencias en ayudas a personas (5.1.4),2026-09-08,2026-09-08T15:26:01,0,110,False,False,0.4,0.04,100.0,verde,API Presupuesto Abierto (SIDIF) — devengado por partida,Ver matriz de contraste; no inferida de tests
gestion,social_orden,protocolo_antipiquetes,observado,74.2,% de reducción de cortes por manifestación en CABA vs 2023 (IRPC),2025-12-31,2026-09-08T15:15:28,251,430,False,False,0.4,0.04,99.0,verde,Diagnóstico Político — monitoreos públicos de piquetes,Ver matriz de contraste; no inferida de tests
gestion,social_orden,libertad_opcion_salud,observado,33.1,% de usuarios de prepagas con aportes derivados directo (sin triangulación),2026-06-01,2026-09-08T12:41:54.904667-03:00,99,220,False,False,0.2,0.02,56.4,amarillo,SSS — RNAS y RNEMP por entidad (argentina.gob.ar/sssalud/estadisticas),Ver matriz de contraste; no inferida de tests
vida_cotidiana,ingresos,brecha_salario_cbt,observado,3.87,canastas (RIPTE/CBT),2026-06-01,2026-09-08T03:07:18.898880,99,150,False,False,0.4767,0.1338,112.5,verde,Sec. Trabajo (RIPTE) + INDEC (CBT),Ver matriz de contraste; no inferida de tests
vida_cotidiana,ingresos,pobreza_nowcast,observado,31.3,% de personas,2026-07-01,2026-09-08T03:07:18.898880,69,110,False,False,0.2602,0.073,128.1,verde,UTDT — Nowcast de Pobreza (González-Rozada),Ver matriz de contraste; no inferida de tests
vida_cotidiana,ingresos,consumo_carnes_total,observado,113.94,kg/hab/año,2026-07-01,2026-09-08T03:07:18.898880,69,110,False,False,0.0314,0.0088,94.4,naranja,"SAGYP — tablero de consumo per cápita de carnes (nivel) · INDEC — faena de vacunos, porcinos y aves (evolución del índice)",Ver matriz de contraste; no inferida de tests
vida_cotidiana,ingresos,motorizacion_total,observado,31.25,vehículos 0km por cada 1.000 habitantes (12 meses),2026-08-01,2026-09-08T03:07:18.898880,38,90,False,False,0.0317,0.0089,144.4,verde,"DNRPA — inscripciones iniciales de automotores y motovehículos, per cápita (INDEC)",Ver matriz de contraste; no inferida de tests
vida_cotidiana,ingresos,consumo_supermercados,observado,82.1,"índice (2017 = 100, desestacionalizado)",2026-06-01,2026-09-08T03:07:18.898880,99,130,False,False,0.2,0.0561,90.1,naranja,INDEC — Encuesta de supermercados (ventas a precios constantes),Ver matriz de contraste; no inferida de tests
vida_cotidiana,precios,ipc_alimentos,observado,1.98,% m/m,2026-07-01,2026-09-08T03:07:18.898880,69,110,False,False,0.35,0.0875,107.6,verde,INDEC — IPC alimentos y bebidas (vía datos.gob.ar),Ver matriz de contraste; no inferida de tests
vida_cotidiana,precios,peso_tarifas,observado,14.5,% del salario RIPTE,2026-08-01,2026-09-08T03:07:18.898880,38,110,False,False,0.45,0.1125,112.6,verde,IIEP UBA-CONICET — Canasta de Servicios Públicos del AMBA,Ver matriz de contraste; no inferida de tests
vida_cotidiana,precios,alquiler_real,observado,3.92,% m/m alquileres,2026-07-01,2026-09-08T03:07:18.898880,69,110,False,False,0.2,0.05,50.3,rojo,INDEC — IPC-GBA alquiler de la vivienda (planilla original),Ver matriz de contraste; no inferida de tests
vida_cotidiana,vulnerabilidad,mora_familias,observado,14.41,% de la cartera en situación irregular,2026-06,,99,110,False,False,0.7,0.07,17.3,rojo,BCRA — Informe sobre Bancos (personales + tarjetas de familias),Ver matriz de contraste; no inferida de tests
vida_cotidiana,vulnerabilidad,carga_servicio_deuda_hogares,observado,24.076,% de la masa salarial registrada,2026-04,,160,300,False,False,0.3,0.03,42.3,rojo,BCRA — Informe de Estabilidad Financiera (CDF/MS),Ver matriz de contraste; no inferida de tests
vida_cotidiana,empleo,informalidad,observado,37.9,%,2026-01-01,2026-09-08T03:07:18.898880,250,280,False,False,0.3419,0.0827,94.2,naranja,INDEC EPH,Ver matriz de contraste; no inferida de tests
vida_cotidiana,empleo,empleo_registrado,observado,6106.526,miles de puestos,2026-05-01,2026-09-08T03:07:18.898880,130,150,False,False,0.2246,0.0543,95.7,amarillo,Min. de Capital Humano — SIPA (vía datos.gob.ar),Ver matriz de contraste; no inferida de tests
vida_cotidiana,empleo,mortalidad_pymes,observado,460777,empleadores,2026-05-01,2026-09-08T03:07:18.898880,130,165,False,False,0.1476,0.0357,93.8,naranja,"SRT — partes empleadoras con cobertura de ART, hasta 50 trabajadores",Ver matriz de contraste; no inferida de tests
vida_cotidiana,empleo,despacho_cemento,observado,140.2,índice ISAC,2026-07-01,2026-09-08T16:20:35,69,140,False,False,0.1347,0.0326,77.8,rojo,INDEC — ISAC desestacionalizado (planilla original vigente),Ver matriz de contraste; no inferida de tests
vida_cotidiana,empleo,subocupacion_demandante,observado,7.5,% de la PEA,2026-01-01,2026-09-08T03:07:18.898880,250,280,False,False,0.0512,0.0124,90.7,naranja,"INDEC — EPH, tasa de subocupación demandante",Ver matriz de contraste; no inferida de tests
vida_cotidiana,empleo,trabajo_independiente,observado,20.6,"% del empleo registrado SIPA, sin monotributo social",2026-05-01,2026-09-08T03:07:18.898880,130,165,False,False,0.1,0.0242,92.8,naranja,"SIPA — autónomos y monotributo general sobre el empleo registrado total (asalariados privados, públicos y casas particulares)",Ver matriz de contraste; no inferida de tests
vida_cotidiana,percepcion,icc_utdt,observado,40.2,índice,2026-08-01,2026-09-08T03:07:18.898880,38,110,False,False,0.8182,0.0825,91.1,naranja,UTDT — Índice de Confianza del Consumidor (CIF),Ver matriz de contraste; no inferida de tests
vida_cotidiana,seguridad,inseguridad,observado,27.3,% de hogares víctimas (últimos 12 meses),2026-07,2026-09-08T03:07:18.898880,69,150,False,False,1.0,0.045,104.8,amarillo,UTDT — Índice de Victimización (LICIP),Ver matriz de contraste; no inferida de tests
