cinturon,indicador,fecha_dato,estado_verificacion,evidencia,documento
macro,costo_financiamiento_tesoro,2026-08-01,comprobado,"Cuatro colocaciones fijas de agosto: resultados y llamados oficiales confirman tasas, valores efectivos y liquidaciones. Nominal ponderado 29.77% y REM 21.0% dan 7.25% real. Tarjeta e historia coinciden; cobertura revisada ADR-0288.",cotejo-financiamiento-agosto.json
macro,resultado_primario,2026-07-01,comprobado,"Doce meses del primario conciliados individualmente contra planillas Hacienda: 12.616.675,6 millones. Recaudación API 211.632.775,14 millones; ratio 5,9616%. Portal vigente julio.",cotejo-fiscal-originales.json
politica,votometro_ventaja_lla,2026-07-22,comprobado,"Edición agosto: 125 sondeos en corpus; 109 de espacios y 9 en ventana. Último campo 22-jul; promedio independiente 4,2893 pp reproduce 4,3. No es un censo de todas las encuestas ni una validación externa.",cotejo-votometro-vigente.json
politica,ratio_dnu,2026-09-08,comprobado,"35 DNU / 25 leyes = 1,4; ventana inclusiva corregida a 9-sep-2025/8-sep-2026. Inventario mensual completo: 3.905 decretos, 143 rótulos DNU cotejados con originales (142 DNU/DECNU y 44/2026 común). Cuatro meses históricos corregidos por el día adicional.",cotejo-ratio-dnu-calendario.json; ratio-dnu-pendiente.md
politica,brecha_obra_publica,2026-08-01,comprobado,"Original INDEC publicado 8-sep, expectativas agosto-octubre: brecha mensual −5,1 pp y promedio 12m −1,8 pp. 110 puntos, julio-2017 a agosto-2026. Se corrigen referencia al inicio del horizonte y filas históricas omitidas; no es fecha de publicación ni actividad realizada.",cotejo-brecha-integrada.json; expectativas-construccion-corregidas.md
politica,conflictividad_nacional,2026-08-01,comprobado,"Original autenticado y metodología ACLED: week es sábado inicial, 29-ago a 4-sep. Grupo agosto completo; 1977 / 2605 − 1 = −24,1%. Ventanas de grupos por inicio de semana, no meses por fecha diaria del evento. Tarjeta e historia conciliadas.",cotejo-acled-calendario.json; acled-calendario-corregido.md
politica,jornadas_individuales_no_trabajadas_12m,2026-05-01,comprobado,Portal vigente enlaza mayo 2026; doce filas originales C1 columna H suman 4760195. Total 2025 concuerda con el informe anual a su precisión publicada. Calendario validado por ADR-0295.,cotejo-jornadas-original.json
politica,iaf_transferencias,2025-12-31,comprobado,24 flujos originales e IPC mensual dan 1.6365% real y 43.0815% nominal; OPC 2025 confirma 1.6% y 43.1%. Año cerrado vigente por diseño; no representa la caída intranual 2026.,cotejo-iaf-original.json
politica,eficacia_legislativa,2026-09-08,comprobado,"Cohorte actual 2/14 cotejada: 14 proyectos en 28 entradas TP Diputados; Senado PE/JGM 2024/25 arroja tres PL, presentes en CKAN y fuera de ventana. Fechas TP corregidas en tarjeta e historia. Cierre de cohorte vigente, no de toda la historia.",eficacia-cohorte-senado.md
politica,veto_quorum,2026-09-08,comprobado,"Cotejo nominal independiente del inventario oficial: 10 reuniones en octubre-2025/septiembre-2026 (corte 8-sep); sólo 23-jun en minoría = 10%. Se documentan exclusiones. Doce meses calendario con último parcial, no 365 días ni todas las formas de bloqueo.",cotejo-quorum-nominal.json; sesiones-sanciones-corregidas.md
politica,adhesion_reformas_provincial,2026-09-08,comprobado,"Catálogo MAGyP 16 más Santa Fe (Ley 14386, arts. 93/120) y CABA (Ley 6949, art. 1): 18/24 = 75%. Originales verificados; historia desde enero-2025 y mayo-2026 respectivamente. No es inversión realizada ni examen exhaustivo de derogaciones.",cotejo-adhesiones-complementarias.json; adhesiones-rigi-corregidas.md
politica,cohesion_bloque,2026-08-27,comprobado,"Diputados: 29 PDFs nuevos cotejados contra encabezados tras corregir parser; 42 actas vigentes. Senado: 16 actas cotejadas. Rice bicameral 100%, ambas cámaras actualizadas, última 27-ago.",diputados-integracion-actual.md; cotejo-diputados-parser-corregido.json
politica,bloqueo_sostenido,2026-09-08,comprobado,"InfoLeg/Senado y clasificación Diputados hasta ID5995 sin pendientes. Ventana octubre-2025/septiembre-2026: 0 desafíos, bloqueo sin universo y sin puntaje. Sustituye caché de agosto.",diputados-integracion-actual.md; integracion-diputados-actual.json
politica,desafios_legislativos,2026-09-08,comprobado,"InfoLeg/Senado y clasificación Diputados hasta ID5995 sin pendientes. Ventana octubre-2025/septiembre-2026: 0 desafíos, bloqueo sin universo y sin puntaje. Sustituye caché de agosto.",diputados-integracion-actual.md; integracion-diputados-actual.json
politica,produccion_legislativa,2026-08-01,comprobado_con_salvedad,"29 sanciones Sep-2025/Ago-2026. Las 7 omitidas 27819–27825 se cotejan en BAT Diputados, textos sancionados y boletín Senado 27-ago p18. Se revisan boletines Senado julio/agosto y se excluyen medias sanciones. Fechas legales 26-ago Diputados y 27-ago Senado. Salvedad: catálogo histórico 2008–2025 no certificado exhaustivamente; 74 sigue siendo umbral de diseño.",cotejo-senado-sanciones.json; senado-sanciones-corregidas.md
politica,velocidad_resolucion,2025-12-31,comprobado,"Anuario oficial CSJN 2025: 26524 resueltos / 58424 ingresados = 45,4%. Cociente de flujos anuales, no duración. https://www.csjn.gov.ar/archivos/estadisticas/informe_anuario_CSJN_2025.pdf",../../adr/0281-tasa-de-resolucion-no-es-duracion-judicial.md
politica,paralisis_denuncias,2026-09-01,comprobado,"Archivo original: 7 sesiones de Acusación y 6 de Disciplina desde octubre 2025; septiembre abierto. Alcance: notas publicadas, no inventario certificado de actas.",cotejo-consejo-original.json; contraste-control-judicial.md
politica,cobertura_judicial,2026-09-01,correccion_pendiente,"Corrección integrada: 705/955=73,82%, con ancla 609+103 altas netas−6 renuncias−1 baja. Pendiente verificar salida de Fraga a destino fuera del universo; podría restar un cargo. Estimación, no censo de juras ni fallecimientos.",cotejo-judicial-integrado.json; cobertura-judicial-pendiente.md; ../../adr/0298-cobertura-concilia-movimientos-netos-y-bajas.md
politica,alineamiento_senadores_prov,2026-08-27,comprobado,"Listado POST actual: 96 actas en 2026; 16 dentro de la ventana 10-jun/8-sep. Cotejo independiente de 72 senadores por acta: promedio simple de las tasas provinciales 59,3%, 24 provincias. Se conservan solicitudes, hashes, filas y sumas; no equivale a postura de gobernadores.",cotejo-senado-nominal.json; senado-cotejo-nominal.md
vida_cotidiana,brecha_salario_cbt,2026-06-01,comprobado,"RIPTE junio del portal oficial 1.915.878,76 / CBT junio original INDEC 495.622,30 = 3,8656. Julio tiene canasta pero todavía no RIPTE en el portal. Alcance imponible y adulto equivalente GBA explícitos.",cotejo-salario-canasta.json
vida_cotidiana,ipc_alimentos,2026-07-01,comprobado,"Cuadro 1 IPC julio: alimentos y bebidas no alcohólicas nacional 2,0% redondeado; API 1,98% a dos decimales. Agosto se publica 10-sep.",cotejo-ipc-alimentos-publicacion.json
vida_cotidiana,peso_tarifas,2026-08-01,comprobado,"IIEP: catálogo de reportes y publicación agosto; 14,5% del salario.",cotejo-social-resto-fuentes.json
vida_cotidiana,alquiler_real,2026-07-01,comprobado,"Original INDEC GBA, niveles y variación mensual conciliados. Julio 3.9242% y componente relativo 50.3. API discrepante sustituida en tarjeta e historia (ADR-0291); contraste social recalculado.",cotejo-alquiler-discrepancia.json
vida_cotidiana,consumo_carnes_total,2026-07-01,comprobado,"Tablero SAGYP vigente: julio 113,94 kg/hab/año, promedio móvil; réplica del PDF.",cotejo-social-resto-fuentes.json
vida_cotidiana,informalidad,2026-01-01,comprobado,"EPH 1T2026 original y API conciliados: asalariados sin descuento jubilatorio 37,9%; subocupación demandante 7,5% de la PEA. Portal vigente anuncia 2T para 17-sep. Universos explícitos.",cotejo-eph-publicacion.json
vida_cotidiana,trabajo_independiente,2026-05-01,comprobado,"Portal principal y página SIPA confirman mayo; planilla original concilia empleo A.1 6106,526 miles y participación T.2.2 20,6% sin monotributo social. Valores provisorios; no se infieren transiciones individuales.",cotejo-sipa-planilla.json
vida_cotidiana,mortalidad_pymes,2026-05-01,comprobado,"Catálogo SRT confirma la misma serie; selector público 2026 habilita hasta mayo. Réplica de la planilla ya conservada en cotejo-social-fuentes.json. Universo 1–50 empleados, no conteo de cierres.",cotejo-srt-catalogo.json
vida_cotidiana,despacho_cemento,2026-07-01,comprobado,"Planilla original vigente de INDEC julio, con revisiones históricas; lector compartido entre tarjeta e historia. IPI promedio interanual 3 meses −2,82%; ISAC desestacionalizado 140,16334796.",industria-construccion-julio-pendiente.md; cotejo-ipi-isac-julio.json
vida_cotidiana,subocupacion_demandante,2026-01-01,comprobado,"EPH 1T2026 original y API conciliados: asalariados sin descuento jubilatorio 37,9%; subocupación demandante 7,5% de la PEA. Portal vigente anuncia 2T para 17-sep. Universos explícitos.",cotejo-eph-publicacion.json
vida_cotidiana,empleo_registrado,2026-05-01,comprobado,"Portal principal y página SIPA confirman mayo; planilla original concilia empleo A.1 6106,526 miles y participación T.2.2 20,6% sin monotributo social. Valores provisorios; no se infieren transiciones individuales.",cotejo-sipa-planilla.json
vida_cotidiana,inseguridad,2026-07,comprobado,"Informe LICIP julio 27,3%; PDF y contraste visual.",evidencia-fuentes.json
vida_cotidiana,icc_utdt,2026-08-01,comprobado,"Publicación UTDT agosto; 40,23, redondeado a 40,2 en tarjeta.",README.md
vida_cotidiana,pobreza_nowcast,2026-07-01,comprobado,"Listado UTDT y último informe: febrero-julio 2026, estimación 31,3%, intervalo 29,8–32,7.",cotejo-social-resto-fuentes.json
vida_cotidiana,motorizacion_total,2026-08-01,comprobado,"Catálogos CKAN DNRPA y archivos autos/motos hasta agosto: 31,25 vehículos por mil habitantes en doce meses; población INDEC.",cotejo-social-resto-fuentes.json
vida_cotidiana,consumo_supermercados,2026-06-01,comprobado,"Planilla INDEC descubierta del catálogo: junio 82,1 desestacionalizado. Calendario anuncia julio para el 23-sep.",cotejo-social-fuentes.json
vida_cotidiana,mora_familias,2026-06,comprobado,"Anexo BCRA vigente: personales y tarjetas ponderados, junio 14,41%.",evidencia-fuentes.json
vida_cotidiana,carga_servicio_deuda_hogares,2026-04,comprobado,"IEF primer semestre 2026: 169 observaciones, última abril 24,076% de masa salarial. Edición segundo semestre aún 404. Planilla descubierta desde la edición vigente.",cotejo-ief-fuentes.json
gestion,cepo_mulc,2026-09-08,comprobado,"Brecha 5,35%: CCL venta 1588,70 / mayorista 1508. Marcas temporales de DolarAPI conservadas; snapshot actualizado.",cotizacion-brecha.json
gestion,apertura_comercial,2026-07-01,comprobado,ARCA anual original: DEX más DIM y estadística conciliados con API; A3500 promedio julio 1487.0038; ICA original 15592.5354 M USD. Alícuota 7.62%; julio es último mes común.,cotejo-apertura-arca-original.json
gestion,desregulacion_normativa,2026-08-01,comprobado,Original agosto confirma 17115 artículos y revisa julio a 16848: incremento 267. Tarjeta e historia corregidas; autorreporte no prueba impacto.,cotejo-desregulacion-original.json
gestion,reduccion_estado,2026-07-01,comprobado,"Planilla INDEC de dotación julio: -20,66% contra diciembre 2023. Calendario anuncia agosto para el 30-sep.",cotejo-gestion-fuentes.json
gestion,gasto_funcionamiento,2026-07-01,comprobado,"IMIG julio 2026 y julio 2023 originales concilian salarios y otros gastos. IPC de ambos meses reproduce -28,6857%. Fuente base caja, no devengado; portal vigente julio.",cotejo-fiscal-originales.json
gestion,fal_modernizacion_laboral,2026-09-08,reproducido_fuente,"Réplica 50: construcción 1, vigencia 0 hasta 1-nov, adopción CNV 0. Falta corroborar estado judicial curado vigente al corte.",cotejo-rigi-fal-piquetes.json
gestion,litigiosidad_laboral,2026-05-01,comprobado,"Últimos datos SRT confirma mayo 2026. Planilla: 127363 / 124767 juicios en ventanas completas 12m/12m = +2,1%. Tarjeta e historia coinciden; no identifica efectos del FAL.",cotejo-litigiosidad-vigente.json
gestion,privatizaciones,2026-09-08,parcial,27 avisos revisados; hitos corregidos y cierre de Transener corroborado en CNV con transición histórica a agosto. Falta corroboración integral de las otras empresas.,privatizaciones-revision.md
gestion,rigi_inversiones,2026-09-08,comprobado,"Portal oficial confirma el mismo sheet y deduplicación por nombre; todos los montos duplicados coinciden. 23 aprobados USD 49766M y 23 en evaluación USD 153709M: 24,5%. Comprometido, no ejecutado.",cotejo-rigi-portal.json
gestion,concesiones_infraestructura,2026-09-08,comprobado,"Universo vigente de 16 tramos: 9090,85 km, redondeados 9091. Actos ST 80/2025 y ME 706/2026, 1149/2026 y 1379/2026 cubren las cuatro etapas. 100% adjudicado formalmente; no ejecución de obras ni operación efectiva.",cotejo-concesiones-original.json; concesiones-cotejadas.md
gestion,asistencia_directa,2026-09-08,comprobado,Partidas originales y filtros POST conservados: 434589.03731808 + 123471.11114301 millones en 5.1.4; 100% del inciso 5 seleccionado. Base 2023 corroborada 98.312165%. No acredita pago ni intermediación efectiva (ADR-0296).,cotejo-tdps-original.json
gestion,protocolo_antipiquetes,2025-12-31,comprobado_con_salvedad,74.2% reproducido desde cifras de DP citadas por La Nación y Chequeado. Base 931 estimada desde 11.3% redondeado; portal suspendido impide verificar nuevas publicaciones.,contraste-cortes-protesta.md
gestion,libertad_opcion_salud,2026-06-01,comprobado_con_salvedad,"RNAS/RNEMP junio: 2754461/8332458 = 33,1%. Archivo RNEMP público referenciado con enlace inactivo; salvedad preservada. Tarjeta e historia actualizadas.",evidencia-fuentes.json
